smiles,inchikey
N=C(N)NS(=O)(=O)c1ccc(N)cc1,BRBKOPJOKNSWSG-UHFFFAOYSA-N
NC1=NCC2c3ccccc3Cc3ccccc3N12,WHWZLSFABNNENI-UHFFFAOYSA-N
Cc1cccc(C)c1NC(=O)C(C)N,BUJAGSGYPOAWEI-UHFFFAOYSA-N
CCNC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)CCc1ccccc1,AQOKCDNYWBIDND-FTOWTWDKSA-N
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,BXZVVICBKDXVGW-NKWVEPMBSA-N
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,UEJJHQNACJXSKW-UHFFFAOYSA-N
CC(C)Cc1ccc(C(C)C(=O)NO)cc1,BYPIURIATSUHDW-UHFFFAOYSA-N
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,SBDNJUWAMKYJOX-UHFFFAOYSA-N
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,JBIMVDZLSHOPLA-LSCVHKIXSA-N
CCN(CC)CCOC(=O)c1ccc(N)cc1,MFDFERRIHVXMIY-UHFFFAOYSA-N
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,AIJTTZAVMXIJGM-UHFFFAOYSA-N
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,BJDCWCLMFKKGEE-CMDXXVQNSA-N
CC(C)OP(=O)(F)OC(C)C,MUCZHBLJLSDCSD-UHFFFAOYSA-N
CC(C)CNCCOC(=O)c1cccc(N)c1,BXMFKNRZTLNAFY-UHFFFAOYSA-N
C[N+](C)(C)CCOC[18F],TYUACEBEGBGGMO-JZRMKITLSA-N
C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,CKHJPWQVLKHBIH-ZDSKVHJSSA-N
O=C(Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1)c1cccs1,SSLHKNBKUBAHJY-HDJSIYSDSA-N
O=C1C(=O)c2ncccc2-c2cccnc21,VLPADTBFADIFKG-UHFFFAOYSA-N
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,QHMWCHQXCUNUAK-UHFFFAOYSA-N
CNC(=O)c1c(I)c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NC)c2I)c(I)c(C(=O)O)c1I,SMQYOVYWPWASGU-UHFFFAOYSA-N
CN(C)C(=O)C(CC[N@+]1([O-])CC[C@@](O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,KXVSBTJVTUVNPM-UKPNQBOSSA-N
O=C(N/N=C/C=C/c1ccc([N+](=O)[O-])o1)c1ccc([N+](=O)[O-])s1,IDUMOVRJNBNOTR-BIZLIJPVSA-N
COC(=O)[C@H]1[C@@H](c2ccc([124I])cc2)C[C@H]2CC[C@@H]1N2C,SIIICDNNMDMWCI-SRVHVDJVSA-N
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)C2CCC3C2)c1,CANCCLAKQQHLNK-UHFFFAOYSA-N
[N-]=[N+]=NCC(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,SGRUZFCHLOFYHZ-MWLCHTKSSA-N
NCC(O)c1cccc(O)c1,LRCXRAABFLIVAI-UHFFFAOYSA-N
CCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],YZZCJYJBCUJISI-UHFFFAOYSA-N
Nc1ccncc1N,OYTKINVCDFNREN-UHFFFAOYSA-N
Nc1ccc(S(N)(=O)=O)cc1,FDDDEECHVMSUSB-UHFFFAOYSA-N
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@@](C)(C(=O)O)CC[C@]4(C)CC[C@]23C)C1(C)C,FTQDJVZNPJRVPG-XWEVEMRCSA-N
II,PNDPGZBMCMUPRI-UHFFFAOYSA-N
CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O,KANJSNBRCNMZMV-ABRZTLGGSA-N
CNCC(=O)c1ccc(O)c(O)c1,PZMVOUYYNKPMSI-UHFFFAOYSA-N
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,HYAFETHFCAUJAY-UHFFFAOYSA-N
O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,SJDACOMXKWHBOW-UHFFFAOYSA-N
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,BQIPXWYNLPYNHW-UHFFFAOYSA-N
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,LZCDAPDGXCYOEH-UHFFFAOYSA-N
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,OIRDTQYFTABQOQ-UHTZMRCNSA-N
NCC1(CC(=O)O)CCCCC1,UGJMXCAKCUNAIE-UHFFFAOYSA-N
CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,WOXKDUGGOYFFRN-IIBYNOLFSA-N
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O,FIQOFIRCTOWDOW-BJLQDIEVSA-N
